index,NCT,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
0,NCT00003305,Sanofi,A Phase II Trial of Aminopterin in Adults and Children With Refractory Acute Leukemia Grant Application Title: A Phase II Trial of Aminopterin in Acute Leukemia,RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of aminopterin in treating patients who have refractory leukemia.,1997,7,Phase 2,75,Completed,Leukemia
1,NCT00003821,Sanofi,Phase II Trial of Aminopterin in Patients With Persistent or Recurrent Endometrial Carcinoma,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of aminopterin in treating patients who have refractory or recurrent endometrial cancer.,1998,1,Phase 2,0,Withdrawn,Endometrial Neoplasms
2,NCT00004025,Sanofi,"Phase I/II Trial of the Safety, Immunogenicity, and Efficacy of Autologous Dendritic Cells Transduced With Adenoviruses Encoding the MART-1 and gp100 Melanoma Antigens Administered With or Without Low Dose Recombinant Interleukin-2 (rIL-2) in Patients With Stage IV Melanoma",RATIONALE: Vaccines made from a person's white blood cells combined with melanoma antigens may make the body build an immune response to tumor cells. Interleukin-2 may stimulate a person's white blood cells to kill melanoma cells. Combining vaccine therapy with interleukin-2 may be an effective treatment for stage III or stage IV melanoma. PURPOSE: Phase I/II trial to study the effectiveness of vaccine therapy with or without interleukin-2 in treating patients who have stage III or stage IV melanoma that cannot be surgically removed.,1999,3,Phase 1/Phase 2,36,Unknown status,Melanoma
3,NCT00005645,Sanofi,Phase II Trial of ILX295501 Administered Orally Once Weekly x 3 Repeated Every 6 Weeks in Patients With Stage III/IV Ovarian Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of ILX-295501 in treating patients who have stage III or stage IV ovarian cancer that has not responded to previous therapy.,1999,5,Phase 2,0,Withdrawn,Ovarian Neoplasms
4,NCT00008281,Sanofi,"A Multicenter, Open-Label, Randomized, Three-Arm Study Of 5-Fluorouracil (5-FU) Plus Leucovorin (LV) Or Oxaliplatin Or A Combination Of (5-Fu) LV + Oxaliplatin As Second-Line Treatment Of Metastatic Colorectal Carcinoma",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known which regimen of chemotherapy is more effective for metastatic colorectal cancer. PURPOSE: Phase III trial to compare the effectiveness of three chemotherapy regimens in treating patients who have metastatic colorectal cancer.,2000,10,Phase 3,0,Unknown status,Colorectal Neoplasms
5,NCT00010309,Sanofi,Phase I/II Trial Investigating The Safety And Immunogenicity Of Adenoviruses Encoding The Melan-A/MART-1 And gp 100 Melanoma Antigens Administered Intradermally To Patients With Stage II-IV Melanoma,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. PURPOSE: Phase I/II trial to study the effectiveness of vaccine therapy in treating patients who have stage II, stage III, or stage IV melanoma.",2000,11,Phase 1/Phase 2,0,Unknown status,Melanoma
6,NCT00012389,Sanofi,"A Multicenter, Open-Label, Randomized, Two-Arm Study of Irinotecan (CPT-11) Versus the Combination of Oxaliplatin + Irinotecan (CPT-11) as Second-Line Treatment of Metastatic Colorectal Carcinoma",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if irinotecan is more effective with or without oxaliplatin in treating metastatic colorectal cancer. PURPOSE: Randomized phase III trial to compare the effectiveness of irinotecan with or without oxaliplatin in treating patients who have metastatic colorectal cancer.,2000,12,Phase 3,0,Completed,Colorectal Neoplasms
7,NCT00017459,Sanofi,"The International Tirazone Triple Trial (i3T): A Phase III, Randomized Efficacy And Safety Study Of The Combination Chemotherapy With Tirapazamine+Cisplatin+Vinorelbine Versus Cisplatin+Vinorelbine In Subjects With Inoperable, Previously Untreated, Non-Small Cell Lung Cancer",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if cisplatin and vinorelbine are more effective with or without tirapazamine in treating non-small cell lung cancer PURPOSE: Randomized phase III trial to compare the effectiveness of cisplatin plus vinorelbine with or without tirapazamine in treating patients who have stage IIIB or stage IV non-small cell lung cancer.,2000,7,Phase 3,0,Completed,"Carcinoma, Non-Small-Cell Lung"
8,NCT00021255,Sanofi,"Multicenter Phase III Randomized Trial Comparing Doxorubicin and Cyclophosphamide Followed By Docetaxel (AC-T) With Doxorubicin and Cyclophosphamide Followed By Docetaxel and Trastuzumab (Herceptin)(AC-TH) and With Docetaxel, Carboplatin and Trastuzumab (TCH) In The Adjuvant Treatment Of Node Positive and High Risk Node Negative Patients With Operable Breast Cancer Containing The HER2 Alteration","Primary objective: - Compare disease-free survival in women with human epidermal growth factor receptor 2 (HER2)-neu-expressing node-positive or high-risk node-negative operable breast cancer treated with adjuvant doxorubicin, cyclophosphamide, and docetaxel with or without trastuzumab (Herceptin) vs trastuzumab, docetaxel, and carboplatin. Secondary objective: - Compare overall survival of participants treated with these regimens. - Compare the toxic effects (including cardiac) of these regimens in these participants. - Compare quality of life of participants treated with these regimens. - Compare pathologic and molecular markers for predicting efficacy of these regimens in these participants. - For substudy: Compare peripheral levels of shed HER2-neu extracellular domain with fluorescence in situ hybridization in predicting outcome in participants treated with these regimens.",2001,4,Phase 3,3222,Completed,Breast Neoplasms
9,NCT00025896,Sanofi,"A Prospective Multinational, Multicenter, Clinical Trial of the Safety and Efficacy of Recombinant Human Acid Alpha-Glucosidase (rhGAA) in Cross-Reacting Immunologic Material-Positive Patients With Classical Infantile Pompe Disease","Pompe disease is caused by a deficiency of a critical enzyme in the body called acid alpha glucosidase (GAA). Normally, GAA is used by the body's cells to break down glycogen (a stored form of sugar) within specialized structures called lysosomes. In infants with severe cases of Pompe disease (called Classical Infantile Pompe disease), an excessive amount of glycogen accumulates and is stored in various tissues, especially heart, skeletal muscle, and liver, which prevents their normal function. This study being conducted to evaluate the safety and effectiveness of recombinant human acid alpha-glucosidase (rhGAA) as a potential enzyme replacement therapy for Pompe disease. Patients diagnosed with Classical Infantile Pompe disease who have a small, but inactive, amount of natural GAA enzyme present in their bodies (called Cross-Reacting Immunologic Material-Positive or ""CRIM (+)"" patients), will be studied.",2001,5,Phase 2,8,Completed,Glycogen Storage Disease Type II
